"ReefCluster","UniqueSite","Larger","Site_Lat","Site_Long","Protection","DepthCategory","CleanHabitat","CensusMethod","Total_sampling_area","Regional_population_growth","Ocean_prod","HDI","Larger_pop_size","Reef_fish_landings_per_km2","NTZarea","Geographic_Basin","Local","Atoll","Trait_diversity","Scraping_potential","MPAage","site_meanSST_anom_C","Voice_accountability","Number.of.transects","gravNP2_cluster","nearpop","neartt","gravNC2_cluster","tt_NM","pop_NM","PA_toppredators","TotalBiomass_kgha"
"RC_375",2425,"Indonesia",5.89527,95.25436,"Restricted","4-10m","Slope","Standard belt transect",500,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,2.12689417088327,60.60012306,0,0.441744645436605,-0.09,2,4,4,1,23.39075554,103.5391052,250757,0,139.6251485
"RC_375",2426,"Indonesia",5.89527,95.25436,"Restricted","4-10m","Slope","Standard belt transect",500,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,2.34302934499414,136.292625,0,0.441744645436605,-0.09,2,4,4,1,23.39075554,103.5391052,250757,0,305.7126261
"RC_378",2889,"Tanzania",-6.154166667,39.13666667,"Fished","0-4m","Crest","Standard belt transect",100,28.1236095,0.216,0.498,44973330,5.10244645356785,0,"Western Indo-Pacific","Tanzania",0,1.12402729718322,0,0,0.502317905426025,-0.11,2,73.1633923,26609.9375,19.07106781,1002.011273,20.07106781,403658,0,182.7822885
"RC_378",2890,"Tanzania",-6.154166667,39.13666667,"Fished","0-4m","Crest","Standard belt transect",50,28.1236095,0.216,0.498,44973330,5.10244645356785,0,"Western Indo-Pacific","Tanzania",0,1.24710657016067,0,0,0.502317905426025,-0.11,1,73.1633923,26609.9375,19.07106781,1002.011273,20.07106781,403658,0,118.9804455
"RC_378",2891,"Tanzania",-6.154166667,39.13666667,"Fished","0-4m","Crest","Standard belt transect",150,28.1236095,0.216,0.498,44973330,5.10244645356785,0,"Western Indo-Pacific","Tanzania",0,1.5337060604418,117.7475973,0,0.502317905426025,-0.11,3,73.1633923,26609.9375,19.07106781,1002.011273,20.07106781,403658,0,262.8698214
"RC_378",2892,"Tanzania",-6.154166667,39.13666667,"Fished","0-4m","Crest","Standard belt transect",50,28.1236095,0.216,0.498,44973330,5.10244645356785,0,"Western Indo-Pacific","Tanzania",0,1.17917534736292,85.565625,0,0.502317905426025,-0.11,1,73.1633923,26609.9375,19.07106781,1002.011273,20.07106781,403658,0,167.8723212
"RC_379",2893,"Tanzania",-6.115833333,39.16666667,"Fished","0-4m","Crest","Standard belt transect",150,27.99869304,0.213,0.498,44973330,5.10244645356785,0,"Western Indo-Pacific","Tanzania",0,1.35912818764394,112.0910625,0,0.502317905426025,-0.11,3,2.436262767,350.8218384,12,1385.135274,17.07106781,403658,0,338.6785167
"RC_379",2894,"Tanzania",-6.115833333,39.16666667,"Fished","0-4m","Crest","Standard belt transect",200,27.99869304,0.213,0.498,44973330,5.10244645356785,0,"Western Indo-Pacific","Tanzania",0,1.66451378498079,25.50620026,0,0.502317905426025,-0.11,4,2.436262767,350.8218384,12,1385.135274,17.07106781,403658,0,97.38648296
"RC_379",2895,"Tanzania",-6.115833333,39.16666667,"Fished","4-10m","Crest","Standard belt transect",50,27.99869304,0.213,0.498,44973330,5.10244645356785,0,"Western Indo-Pacific","Tanzania",0,1.73379793008274,0,0,0.502317905426025,-0.11,1,2.436262767,350.8218384,12,1385.135274,17.07106781,403658,0,205.1574613
"RC_379",2896,"Tanzania",-6.115833333,39.16666667,"Fished","4-10m","Crest","Standard belt transect",50,27.99869304,0.213,0.498,44973330,5.10244645356785,0,"Western Indo-Pacific","Tanzania",0,1.39953690542157,342.158829,0,0.502317905426025,-0.11,1,2.436262767,350.8218384,12,1385.135274,17.07106781,403658,0,392.9076784
"RC_38",331,"Indonesia",1.93752,118.81626,"Restricted","0-4m","Crest","Standard belt transect",750,21.21487736,0.299,0.662,240676485,10.2749352941321,0,"Central Indo-Pacific","Indonesia",0,3.40492490099158,145.9397269,0,0.398755073547363,-0.09,3,0.000233007,3.101247549,115.3675308,0.441044844,897.3681451,355160,0,176.7208806
"RC_380",2899,"Tanzania",-5.814722222,39.38444444,"UnfishedHigh","0-4m","Crest","Standard belt transect",100,21.89523968,0.193,0.498,44973330,5.10244645356785,0.1,"Western Indo-Pacific","Tanzania",0,1.57410233782182,0,6,0.502317905426025,-0.11,2,0.07574704,5.453786373,8.485280991,0.624339152,64.18376618,2572,0,833.4481002
"RC_380",2900,"Tanzania",-5.814722222,39.38444444,"UnfishedHigh","0-4m","Crest","Standard belt transect",200,21.89523968,0.193,0.498,44973330,5.10244645356785,0.1,"Western Indo-Pacific","Tanzania",0,1.84757047890698,76.74525,6,0.502317905426025,-0.11,4,0.07574704,5.453786373,8.485280991,0.624339152,64.18376618,2572,0,574.9256685
"RC_381",2901,"Mexico",20.421915,-87.293238,"Fished",">10m","Slope","Standard belt transect",1250,30.50677555,0.123,0.745,117886404,19.6737717654143,0,"Tropical Atlantic","Mexico",0,2.06685361053152,118.0014687,0,-0.000784079233805339,0.12,5,13.59991406,108.7993088,2.828427076,1.335721677,317.2203461,134412,0,960.0767926
"RC_381",2902,"Mexico",20.412112,-87.299472,"Fished",">10m","Slope","Standard belt transect",1000,30.50677555,0.123,0.745,117886404,19.6737717654143,0,"Tropical Atlantic","Mexico",0,2.37954138323776,118.103109,0,-0.000784079233805339,0.12,4,13.59991406,108.7993088,2.828427076,1.335721677,317.2203461,134412,0,526.7228877
"RC_381",2945,"Mexico",20.407062,-87.301902,"Fished",">10m","Slope","Standard belt transect",1250,30.50677555,0.123,0.745,117886404,19.6737717654143,0,"Tropical Atlantic","Mexico",0,2.19233388869288,223.204746,0,-0.000784079233805339,0.12,5,13.59991406,108.7993088,2.828427076,1.335721677,317.2203461,134412,1,2092.50161
"RC_382",2919,"Belize",17.727893,-87.999994,"Restricted",">10m","Slope","Standard belt transect",1250,11.3436739,0.286,0.7,308595,1.75712086530211,0,"Tropical Atlantic","Belize",0,3.77638801477486,117.1756425,0,0.0380056699117025,0.69,5,0.200168362,21,10.2426405,5.561455922,105.1248917,61461,1,1185.307511
"RC_383",2920,"Cuba",21.031985,-79.318677,"UnfishedHigh",">10m","Slope","Standard belt transect",1250,6.552146705,0.091,0.78,11281768,0.761230730185759,1994.72,"Tropical Atlantic","Cuba",0,3.61507392604374,265.5802878,9,0.124471664428711,-1.58,5,9.22e-05,1,104.1396103,1.388954078,302.4655121,127069,1,3027.948545
"RC_384",2921,"Cuba",20.713095,-78.813317,"UnfishedHigh",">10m","Slope","Standard belt transect",1250,2.276331788,0.12,0.78,11281768,0.761230730185759,1994.72,"Tropical Atlantic","Cuba",0,3.27048718105209,75.66875729,9,0.124471664428711,-1.58,5,0.055555561,1,4.242640495,3.12403806,333.5477272,347562,1,1776.748861
"RC_385",2922,"Cuba",20.949168,-79.180373,"UnfishedHigh",">10m","Slope","Standard belt transect",1250,5.833164741,0.088,0.78,11281768,0.761230730185759,1994.72,"Tropical Atlantic","Cuba",0,3.00295520284224,105.6004865,9,0.124471664428711,-1.58,5,0.000359883,1,52.71320343,1.241894945,338.1761902,142027,1,1517.409159
